Wardcode,Avg_DownloadSpeedMbs,ConnectionsReceivingSuperfastSpeeds,ConnectionsReceivingOver300Mbs
E05006545,61.3,0.636,0.003
E05006546,61.9,0.594,0.005
E05006547,39.4,0.398,0.003
E05006548,57.6,0.6,0.003
E05006549,60.1,0.586,0.001
E05006550,52.0,0.608,0.002
E05006551,56.6,0.599,0.001
E05006552,59.5,0.641,0.004
E05006553,56.6,0.601,0.003
E05006554,42.8,0.425,0.0
E05006555,67.4,0.723,0.001
E05006556,56.5,0.641,0.003
E05006557,53.5,0.601,0.002
E05006558,58.6,0.598,0.001
E05006559,63.2,0.734,0.003
E05006560,59.9,0.676,0.005
E05006561,60.6,0.706,0.004
E05006562,62.7,0.649,0.002
E05006563,58.1,0.613,0.002
E05006564,65.5,0.673,0.003
E05006565,53.2,0.635,0.004
E05006566,68.1,0.687,0.002
E05006567,57.2,0.598,0.003
E05006568,59.0,0.658,0.003
E05006627,20.7,0.264,0.0
E05006628,27.8,0.376,0.0
E05006629,47.8,0.533,0.001
E05006632,38.2,0.441,0.002
E05006634,64.6,0.657,0.002
E05006637,33.2,0.449,0.0
E05006638,29.0,0.502,0.0
E05006639,52.6,0.55,0.0
E05006640,30.6,0.456,0.0
E05006642,25.5,0.392,0.0
E05006643,27.3,0.378,0.0
E05006644,27.4,0.458,0.0
E05006645,71.2,0.275,0.053
E05006646,30.4,0.499,0.0
E05006647,29.3,0.525,0.0
E05006648,48.1,0.525,0.001
E05006649,45.7,0.566,0.001
E05006650,59.2,0.622,0.001
E05006651,50.7,0.543,0.0
E05006652,28.8,0.526,0.0
E05006653,33.9,0.457,0.0
E05009363,31.7,0.468,0.0
E05009364,22.2,0.303,0.0
E05009365,55.9,0.583,0.001
E05009733,49.3,0.594,0.003
E05009734,34.5,0.519,0.005
E05009735,67.7,0.551,0.039
E05009736,29.7,0.408,0.0
E05009737,39.0,0.451,0.001
E05009738,37.9,0.55,0.001
E05009739,57.3,0.575,0.002
E05009740,42.5,0.51,0.0
E05009741,99.7,0.415,0.076
E05009742,26.8,0.436,0.0
E05009743,29.5,0.389,0.0
E05009744,31.2,0.477,0.0
E05009745,33.5,0.46,0.0
E05009746,19.8,0.245,0.0
E05009747,77.3,0.4,0.055
E05009748,29.3,0.407,0.0
E05009749,34.6,0.51,0.0
E05009750,51.1,0.55,0.001
E05009751,29.4,0.377,0.0
E05009752,52.0,0.519,0.003
E05009753,24.3,0.312,0.0
E05009754,50.1,0.527,0.001
E05009755,54.1,0.564,0.002
E05009756,56.2,0.66,0.002
E05009757,53.8,0.56,0.003
E05009758,58.9,0.638,0.001
E05009759,42.4,0.543,0.002
E05009760,74.1,0.632,0.024
E05009761,52.8,0.548,0.009
E05009762,50.5,0.588,0.007
E05009763,31.6,0.407,0.0
E05009764,63.1,0.683,0.003
E05009765,20.3,0.273,0.0
E05009766,56.8,0.628,0.001
E05009767,58.5,0.477,0.03
E05009768,25.2,0.37,0.001
E05009769,28.4,0.395,0.003
E05009770,28.5,0.385,0.0
E05009771,44.2,0.602,0.002
E05009772,35.2,0.605,0.001
E05009773,134.7,0.302,0.119
E05009774,54.6,0.59,0.002
E05009775,48.6,0.519,0.001
E05009776,40.0,0.302,0.016
E05009777,65.4,0.449,0.042
E05010781,26.1,0.396,0.0
E05010782,32.9,0.465,0.0
E05010783,26.9,0.419,0.0
E05010919,31.4,0.46,0.0
E05010920,27.2,0.462,0.0
E05010921,31.5,0.409,0.0
E05010922,30.8,0.457,0.0
E05010923,29.3,0.522,0.0
E05010924,27.8,0.47,0.0
E05010925,54.2,0.587,0.002
E05010926,44.5,0.619,0.002
E05010927,29.0,0.457,0.0
E05010928,62.0,0.625,0.002
E05010929,30.2,0.497,0.0
E05010930,29.4,0.373,0.004
E05010931,39.2,0.401,0.013
E05010932,58.8,0.61,0.003
E05010933,49.7,0.568,0.002
E05010934,110.1,0.599,0.081
